month,GEP_monthly,n_articles,n_gep_articles,n_trading_days,GEP_norm,GEP_norm_mean
2007-01,0.0004690868917356948,138977.0,55679.0,31.0,117.2364856771352,0.00040012022624726415
2007-02,0.0005101108755002617,136530.0,57224.0,28.0,127.48939994476214,0.00040012022624726415
2007-03,0.000545435177697937,144318.0,60790.0,31.0,136.31782197405636,0.00040012022624726415
2007-04,0.00046924320561431203,139040.0,55982.0,30.0,117.2755524046744,0.00040012022624726415
2007-05,0.0005098753414270181,155203.0,64780.0,31.0,127.43053411949438,0.00040012022624726415
2007-06,0.000547576956841218,138021.0,58003.0,30.0,136.85310587194095,0.00040012022624726415
2007-07,0.00046851779566246284,147588.0,59112.0,31.0,117.09425440865635,0.00040012022624726415
2007-08,0.0005129596567224415,146465.0,61679.0,31.0,128.201381253205,0.00040012022624726415
2007-09,0.0005486913414190728,129182.0,54350.0,30.0,137.131618305143,0.00040012022624726415
2007-10,0.00047004526246424916,164313.0,65665.0,31.0,117.47600636758942,0.00040012022624726415
2007-11,0.0005165083723676425,154123.0,65455.0,30.0,129.08829358915074,0.00040012022624726415
2007-12,0.0005520044705906513,115152.0,48161.0,31.0,137.9596517196625,0.00040012022624726415
2008-01,0.0004731693269388145,155997.0,60935.0,31.0,118.25678781017382,0.00040012022624726415
2008-02,0.0004167316752773468,150505.0,58398.0,29.0,104.15161442496466,0.00040012022624726415
2008-03,0.0004157290316484553,146945.0,54782.0,31.0,103.90102883515449,0.00040012022624726415
2008-04,0.00047896739018618724,161989.0,64532.0,30.0,119.70586807831043,0.00040012022624726415
2008-05,0.0004077267619651329,158799.0,60527.0,31.0,101.90106253543105,0.00040012022624726415
2008-06,0.0004180154153366351,148254.0,55593.0,30.0,104.47245300674007,0.00040012022624726415
2008-07,0.00047680522293048707,168089.0,66878.0,31.0,119.16548868385213,0.00040012022624726415
2008-08,0.00039906158727085747,151253.0,57123.0,31.0,99.73541977961582,0.00040012022624726415
2008-09,0.000423906279529139,171109.0,65089.0,30.0,105.9447265400614,0.00040012022624726415
2008-10,0.00045178386315456375,213809.0,83048.0,31.0,112.9120283150527,0.00040012022624726415
2008-11,0.0004216320895954085,173938.0,67743.0,30.0,105.37634989110762,0.00040012022624726415
2008-12,0.0004216268421649383,116693.0,44148.0,19.0,105.37503842767089,0.00040012022624726415
2009-01,0.0004052273931452208,189571.0,71813.0,31.0,101.27640808010554,0.00040012022624726415
2009-02,0.00038168868107222383,177426.0,65235.0,28.0,95.39349826228228,0.00040012022624726415
2009-03,0.00037537485705965116,185672.0,68646.0,31.0,93.81551654618904,0.00040012022624726415
2009-04,0.0004063378399775797,176840.0,66040.0,30.0,101.55393637273242,0.00040012022624726415
2009-05,0.00037937305324501746,178304.0,65770.0,31.0,94.81476525272545,0.00040012022624726415
2009-06,0.00037597937360161105,171212.0,63106.0,30.0,93.96660027110585,0.00040012022624726415
2009-07,0.0004010400824399598,181523.0,67307.0,31.0,100.22989494965624,0.00040012022624726415
2009-08,0.00038295145036638196,164236.0,60980.0,31.0,95.70909572807442,0.00040012022624726415
2009-09,0.0003752903708043549,166802.0,61611.0,30.0,93.79440132887333,0.00040012022624726415
2009-10,0.0004063612340269431,175022.0,65322.0,31.0,101.55978312773975,0.00040012022624726415
2009-11,0.0003786153187740882,162972.0,59914.0,30.0,94.62538855511731,0.00040012022624726415
2009-12,0.00037034051227409395,144972.0,52516.0,31.0,92.55730852387175,0.00040012022624726415
2010-01,0.0003837929370915854,287927.0,107645.0,31.0,95.91940419788004,0.00040012022624726415
2010-02,0.00042099355592639437,164073.0,65207.0,28.0,105.21676443975392,0.00040012022624726415
2010-03,0.00039405280896967834,163862.0,61452.0,31.0,98.48360145786874,0.00040012022624726415
2010-04,0.0003844016056424647,164475.0,61865.0,30.0,96.07152561313266,0.00040012022624726415
